Datum,Bremen:morgenpost:confirmed,Bremen:morgenpost:recovered,Bremen:morgenpost:deaths,Saarland:morgenpost:confirmed,Saarland:morgenpost:recovered,Saarland:morgenpost:deaths,Mecklenburg-Vorpommern:morgenpost:confirmed,Mecklenburg-Vorpommern:morgenpost:recovered,Mecklenburg-Vorpommern:morgenpost:deaths,Hamburg:morgenpost:confirmed,Hamburg:morgenpost:recovered,Hamburg:morgenpost:deaths,Thüringen:morgenpost:confirmed,Thüringen:morgenpost:recovered,Thüringen:morgenpost:deaths,Sachsen-Anhalt:morgenpost:confirmed,Sachsen-Anhalt:morgenpost:recovered,Sachsen-Anhalt:morgenpost:deaths,Brandenburg:morgenpost:confirmed,Brandenburg:morgenpost:recovered,Brandenburg:morgenpost:deaths,Schleswig-Holstein:morgenpost:confirmed,Schleswig-Holstein:morgenpost:recovered,Schleswig-Holstein:morgenpost:deaths,Berlin:morgenpost:confirmed,Berlin:morgenpost:recovered,Berlin:morgenpost:deaths,Rheinland-Pfalz:morgenpost:confirmed,Rheinland-Pfalz:morgenpost:recovered,Rheinland-Pfalz:morgenpost:deaths,Sachsen:morgenpost:confirmed,Sachsen:morgenpost:recovered,Sachsen:morgenpost:deaths,Hessen:morgenpost:confirmed,Hessen:morgenpost:recovered,Hessen:morgenpost:deaths,Niedersachsen:morgenpost:confirmed,Niedersachsen:morgenpost:recovered,Niedersachsen:morgenpost:deaths,Baden-Württemberg:morgenpost:confirmed,Baden-Württemberg:morgenpost:recovered,Baden-Württemberg:morgenpost:deaths,Bayern:morgenpost:confirmed,Bayern:morgenpost:recovered,Bayern:morgenpost:deaths,Nordrhein-Westfalen:morgenpost:confirmed,Nordrhein-Westfalen:morgenpost:recovered,Nordrhein-Westfalen:morgenpost:deaths,Baden-Württemberg:RKI:Neuinfektionen,Baden-Württemberg:RKI:Todesfaelle,Nordrhein-Westfalen:RKI:Neuinfektionen,Nordrhein-Westfalen:RKI:Todesfaelle,Bayern:RKI:Neuinfektionen,Bayern:RKI:Todesfaelle,Hessen:RKI:Neuinfektionen,Hessen:RKI:Todesfaelle,Berlin:RKI:Neuinfektionen,Berlin:RKI:Todesfaelle,Niedersachsen:RKI:Neuinfektionen,Niedersachsen:RKI:Todesfaelle,Sachsen:RKI:Neuinfektionen,Sachsen:RKI:Todesfaelle,Rheinland-Pfalz:RKI:Neuinfektionen,Rheinland-Pfalz:RKI:Todesfaelle,Brandenburg:RKI:Neuinfektionen,Brandenburg:RKI:Todesfaelle,Hamburg:RKI:Neuinfektionen,Hamburg:RKI:Todesfaelle,Schleswig-Holstein:RKI:Neuinfektionen,Schleswig-Holstein:RKI:Todesfaelle,Thüringen:RKI:Neuinfektionen,Thüringen:RKI:Todesfaelle,Mecklenburg-Vorpommern:RKI:Neuinfektionen,Mecklenburg-Vorpommern:RKI:Todesfaelle,Bremen:RKI:Neuinfektionen,Bremen:RKI:Todesfaelle,Saarland:RKI:Neuinfektionen,Saarland:RKI:Todesfaelle,Sachsen-Anhalt:RKI:Neuinfektionen,Sachsen-Anhalt:RKI:Todesfaelle,Baden-Württemberg:RKI:Summe_Infektionen,Baden-Württemberg:RKI:Summe_Todesfaelle,Nordrhein-Westfalen:RKI:Summe_Infektionen,Nordrhein-Westfalen:RKI:Summe_Todesfaelle,Bayern:RKI:Summe_Infektionen,Bayern:RKI:Summe_Todesfaelle,Hessen:RKI:Summe_Infektionen,Hessen:RKI:Summe_Todesfaelle,Berlin:RKI:Summe_Infektionen,Berlin:RKI:Summe_Todesfaelle,Niedersachsen:RKI:Summe_Infektionen,Niedersachsen:RKI:Summe_Todesfaelle,Sachsen:RKI:Summe_Infektionen,Sachsen:RKI:Summe_Todesfaelle,Rheinland-Pfalz:RKI:Summe_Infektionen,Rheinland-Pfalz:RKI:Summe_Todesfaelle,Brandenburg:RKI:Summe_Infektionen,Brandenburg:RKI:Summe_Todesfaelle,Hamburg:RKI:Summe_Infektionen,Hamburg:RKI:Summe_Todesfaelle,Schleswig-Holstein:RKI:Summe_Infektionen,Schleswig-Holstein:RKI:Summe_Todesfaelle,Thüringen:RKI:Summe_Infektionen,Thüringen:RKI:Summe_Todesfaelle,Mecklenburg-Vorpommern:RKI:Summe_Infektionen,Mecklenburg-Vorpommern:RKI:Summe_Todesfaelle,Bremen:RKI:Summe_Infektionen,Bremen:RKI:Summe_Todesfaelle,Saarland:RKI:Summe_Infektionen,Saarland:RKI:Summe_Todesfaelle,Sachsen-Anhalt:RKI:Summe_Infektionen,Sachsen-Anhalt:RKI:Summe_Todesfaelle,Nordrhein-Westfalen:morgenpost:days_after_outbreak,Bayern:morgenpost:days_after_outbreak,Baden-Württemberg:morgenpost:days_after_outbreak,Niedersachsen:morgenpost:days_after_outbreak,Hessen:morgenpost:days_after_outbreak,Sachsen:morgenpost:days_after_outbreak,Rheinland-Pfalz:morgenpost:days_after_outbreak,Berlin:morgenpost:days_after_outbreak,Schleswig-Holstein:morgenpost:days_after_outbreak,Brandenburg:morgenpost:days_after_outbreak,Sachsen-Anhalt:morgenpost:days_after_outbreak,Thüringen:morgenpost:days_after_outbreak,Hamburg:morgenpost:days_after_outbreak,Mecklenburg-Vorpommern:morgenpost:days_after_outbreak,Saarland:morgenpost:days_after_outbreak,Bremen:morgenpost:days_after_outbreak,Nordrhein-Westfalen:RKI:days_after_outbreak,Bayern:RKI:days_after_outbreak,Baden-Württemberg:RKI:days_after_outbreak,Niedersachsen:RKI:days_after_outbreak,Hessen:RKI:days_after_outbreak,Sachsen:RKI:days_after_outbreak,Rheinland-Pfalz:RKI:days_after_outbreak,Berlin:RKI:days_after_outbreak,Schleswig-Holstein:RKI:days_after_outbreak,Brandenburg:RKI:days_after_outbreak,Sachsen-Anhalt:RKI:days_after_outbreak,Thüringen:RKI:days_after_outbreak,Hamburg:RKI:days_after_outbreak,Mecklenburg-Vorpommern:RKI:days_after_outbreak,Saarland:RKI:days_after_outbreak,Bremen:RKI:days_after_outbreak
2020-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
